system:time_start,NDVI
"Mar 22, 1985",0.12
"Feb 14, 1995",0.09
"Dec 31, 1995",0.119
"Aug 30, 1997",0.102
"Jan 29, 2001",0.088
"Jan 11, 2003",0.099
"Jan 30, 2004",0.088
"Feb 7, 2007",0.079
"Feb 23, 2007",0.084
"Sep 24, 2009",0.012
"Dec 13, 2009",0.099
"Dec 29, 2009",0.101
"Jan 14, 2010",0.104
"Jan 17, 2011",0.089
"Mar 27, 2013",0.106
"Jan 4, 2015",0.016
"Jan 15, 2016",0.079
"Mar 17, 2018",0.017
"Aug 16, 2018",0.032
"Sep 17, 2018",0.094
"Dec 30, 2018",0.017
"Jan 10, 2020",0.113
"Feb 11, 2020",0.1
"Sep 22, 2020",0.105
"Dec 14, 2021",0.107
